11:47:50.161 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB asset-issue-v2 open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:50.164 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB exchange-v2 open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:50.166 INFO  [main] [DB](LevelDbDataSourceImpl.java:149) DB exchange-v2 open success with writeBufferSize 16 M, cacheSize 32 M, maxOpenFiles 100.
11:47:50.167 INFO  [main] [DB](AssetUpdateHelper.java:95) Total block:1
11:47:50.167 INFO  [main] [DB](AssetUpdateHelper.java:124) Complete the asset store update, Total assets:0
11:47:50.169 INFO  [main] [DB](AssetUpdateHelper.java:145) Complete the exchange store update, Total exchanges:0
11:47:50.171 INFO  [main] [DB](AssetUpdateHelper.java:194) The number of accounts that have completed the update: 0
11:47:50.179 INFO  [main] [DB](AssetUpdateHelper.java:199) Complete the account store update, total assets: 30
11:47:50.179 INFO  [main] [DB](AssetUpdateHelper.java:42) Complete the asset update, Total time:26 milliseconds
11:47:50.180 INFO  [main] [DB](MoveAbiHelper.java:25) Start to move abi
11:47:50.181 INFO  [main] [DB](MoveAbiHelper.java:42) Complete the abi move, total time: 1 milliseconds, total count: 0
11:47:50.181 INFO  [main] [DB](EnergyPriceHistoryLoader.java:25) Start to load energy price
11:47:50.184 INFO  [main] [DB](EnergyPriceHistoryLoader.java:34) Complete energy price load, total time: 3 milliseconds, total proposal count: 0
11:47:50.185 INFO  [main] [DB](BandwidthPriceHistoryLoader.java:24) Start to load bandwidth price
11:47:50.185 INFO  [main] [DB](BandwidthPriceHistoryLoader.java:33) Complete bandwidth price load, total time: 0 milliseconds, total proposal count: 0
11:47:50.190 INFO  [main] [DB](Manager.java:2402) Load trans for lite node.
11:47:50.190 INFO  [main] [DB](Manager.java:2425) Load trans complete, trans: 0, from = 9223372036854775807, to = -9223372036854775808.
11:47:50.191 INFO  [main] [DB](Manager.java:538) Current headNum is: 0.
11:47:50.191 INFO  [main] [DB](Manager.java:540) Node type is: full.
11:47:50.934 INFO  [main] [o.r.Reflections](Reflections.java:232) Reflections took 479 ms to scan 9 urls, producing 495 keys and 2843 values 
11:47:51.133 INFO  [main] [o.s.b.f.a.AutowiredAnnotationBeanPostProcessor](AutowiredAnnotationBeanPostProcessor.java:478) Autowired annotation is not supported on static fields: private static final java.util.concurrent.ConcurrentHashMap org.tron.core.config.args.Args.solidityContractLogTriggerMap
11:47:51.134 INFO  [main] [o.s.b.f.a.AutowiredAnnotationBeanPostProcessor](AutowiredAnnotationBeanPostProcessor.java:478) Autowired annotation is not supported on static fields: private static final java.util.concurrent.ConcurrentHashMap org.tron.core.config.args.Args.solidityContractEventTriggerMap
11:47:51.614 INFO  [main] [API](ZksnarkInitService.java:26) init zk param begin
11:47:52.132 INFO  [main] [API](ZksnarkInitService.java:47) init zk param done
11:47:52.196 INFO  [main] [app](ServiceContainer.java:53) Starting api services.
11:47:52.532 INFO  [main] [rpc](RpcService.java:47) RpcApiService started, listening on 50051
11:47:52.541 INFO  [main] [o.e.j.u.log](Log.java:170) Logging initialized @7134ms to org.eclipse.jetty.util.log.Slf4jLog
11:47:52.667 INFO  [main] [o.e.j.s.Server](Server.java:375) jetty-9.4.53.v20231009; built: 2023-10-09T12:29:09.265Z; git: 27bde00a0b95a1d5bbee0eae7984f891d2d0f8c9; jvm 1.8.0_202-b08
11:47:52.701 INFO  [main] [o.e.j.s.session](DefaultSessionIdManager.java:334) DefaultSessionIdManager workerName=node0
11:47:52.701 INFO  [main] [o.e.j.s.session](DefaultSessionIdManager.java:339) No SessionScavenger set, using defaults
11:47:52.703 INFO  [main] [o.e.j.s.session](HouseKeeper.java:132) node0 Scavenging every 660000ms
11:47:52.722 INFO  [main] [o.e.j.s.h.ContextHandler](ContextHandler.java:921) Started o.e.j.s.ServletContextHandler@188058fb{/,null,AVAILABLE}
11:47:52.736 INFO  [main] [o.e.j.s.AbstractConnector](AbstractConnector.java:333) Started ServerConnector@6802c10e{HTTP/1.1, (http/1.1)}{0.0.0.0:8090}
11:47:52.736 INFO  [main] [o.e.j.s.Server](Server.java:415) Started @7329ms
11:47:52.736 INFO  [main] [rpc](HttpService.java:45) FullNodeHttpApiService started, listening on 8090
11:47:52.745 INFO  [main] [rpc](RpcService.java:47) RpcApiServiceOnSolidity started, listening on 50061
11:47:52.748 INFO  [main] [o.e.j.s.Server](Server.java:375) jetty-9.4.53.v20231009; built: 2023-10-09T12:29:09.265Z; git: 27bde00a0b95a1d5bbee0eae7984f891d2d0f8c9; jvm 1.8.0_202-b08
11:47:52.750 INFO  [main] [o.e.j.s.session](DefaultSessionIdManager.java:334) DefaultSessionIdManager workerName=node0
11:47:52.750 INFO  [main] [o.e.j.s.session](DefaultSessionIdManager.java:339) No SessionScavenger set, using defaults
11:47:52.750 INFO  [main] [o.e.j.s.session](HouseKeeper.java:132) node0 Scavenging every 660000ms
11:47:52.752 INFO  [main] [o.e.j.s.h.ContextHandler](ContextHandler.java:921) Started o.e.j.s.ServletContextHandler@4844e24b{/,null,AVAILABLE}
11:47:52.759 INFO  [main] [o.e.j.s.AbstractConnector](AbstractConnector.java:333) Started ServerConnector@530bd77b{HTTP/1.1, (http/1.1)}{0.0.0.0:8091}
11:47:52.760 INFO  [main] [o.e.j.s.Server](Server.java:415) Started @7353ms
11:47:52.760 INFO  [main] [rpc](HttpService.java:45) HttpApiOnSolidityService started, listening on 8091
11:47:52.764 INFO  [main] [rpc](RpcService.java:47) RpcApiServiceOnPBFT started, listening on 50071
11:47:52.765 WARN  [main] [o.e.j.s.h.ContextHandler](ContextHandler.java:1667) o.e.j.s.ServletContextHandler@54d2887a{/,null,STOPPED} contextPath ends with /
11:47:52.766 INFO  [main] [o.e.j.s.Server](Server.java:375) jetty-9.4.53.v20231009; built: 2023-10-09T12:29:09.265Z; git: 27bde00a0b95a1d5bbee0eae7984f891d2d0f8c9; jvm 1.8.0_202-b08
11:47:52.768 INFO  [main] [o.e.j.s.session](DefaultSessionIdManager.java:334) DefaultSessionIdManager workerName=node0
11:47:52.768 INFO  [main] [o.e.j.s.session](DefaultSessionIdManager.java:339) No SessionScavenger set, using defaults
11:47:52.769 INFO  [main] [o.e.j.s.session](HouseKeeper.java:132) node0 Scavenging every 660000ms
11:47:52.770 INFO  [main] [o.e.j.s.h.ContextHandler](ContextHandler.java:921) Started o.e.j.s.ServletContextHandler@54d2887a{/walletpbft,null,AVAILABLE}
11:47:52.777 INFO  [main] [o.e.j.s.AbstractConnector](AbstractConnector.java:333) Started ServerConnector@2fca9fae{HTTP/1.1, (http/1.1)}{0.0.0.0:8092}
11:47:52.777 INFO  [main] [o.e.j.s.Server](Server.java:415) Started @7370ms
11:47:52.777 INFO  [main] [rpc](HttpService.java:45) HttpApiOnPBFTService started, listening on 8092
11:47:52.777 INFO  [main] [app](ServiceContainer.java:58) All api services started.
11:47:52.778 INFO  [main] [net](TronNetService.java:192) Local ipv4: 45.120.177.62
